# f in kHz 	deltat in microSekunden		U_c in V	U in V
1	4.0	2.52	2.7
5	6.0	3.40	3.5
10	3.4	3.56	3.5
14	2.6	3.88	3.5
17	2.4	4.12	3.5
20	2.4	4.68	3.5
22	2.6	5.24	3.5
24	3.0	5.92	3.5
26	3.2	6.84	3.5
28	3.2	8.40	3.5
29	3.2	9.30	3.5
30	4.0	10.10	3.5
31	4.6	10.90	3.4
32	5.6	11.7	3.3
34	7.8	11.90	3.3
36	9.2	10.50	3.3
38	10.0	8.3	3.3
40	10.2	6.50	3.5
45	10.2	4.00	3.5
50	9.8	2.80	3.5
75	6.7	0.75	3.32
100	5.3	0.35	3.32
