#eindringtiefe in microsekunden (umrechnen in mm)   Signalintensität/V^2/s    Delta nü in Hz
13      90     439
13.5      114     490
14      126     562
14.5      140    623
15      156     647
15.5      160     623
16      176     574
16.5      187     500
17      183     439
17.5      206     421
18      250     500
18.5      495     500
19      438     500
19.5      348     500
